name
Arizona Woodpecker
Ash-throated Flycatcher
Bewick's Wren
Bewick's Wren (bewickii)
Bewick's Wren (spilurus Group)
Black-backed Woodpecker
Black-capped Chickadee
Boreal Chickadee
Bridled Titmouse
Brown Creeper
Brown-crested Flycatcher
Brown-headed Nuthatch
Carolina Chickadee
Carolina Wren
Carolina Wren (Northern)
Carolina x Black-capped Chickadee (hybrid)
Carolina/Black-capped Chickadee
Chestnut-backed Chickadee
Downy Woodpecker
Downy/Hairy Woodpecker
Dusky-capped Flycatcher
Eastern Bluebird
Eastern Bluebird (Eastern)
Eurasian Tree Sparrow
European Starling
Golden-fronted Woodpecker
Gray-headed Chickadee
Great Crested Flycatcher
Hairy Woodpecker
House Finch
House Sparrow
House Wren
House Wren (Northern)
House Wren (Southern)
House x Eurasian Tree Sparrow (hybrid)
House/Purple Finch
Ivory-billed Woodcreeper
Juniper Titmouse
Ladder-backed Woodpecker
Lewis's Woodpecker
Lucy's Warbler
Mountain Bluebird
Mountain Chickadee
Northern Flicker
Northern Flicker (Red-shafted)
Northern Flicker (Yellow-shafted x Red-shafted)
Northern Flicker (Yellow-shafted)
Nuttall's Woodpecker
Oak Titmouse
Oak/Juniper Titmouse (Plain Titmouse)
Prothonotary Warbler
Purple Martin
Purple Martin (subis/arboricola)
Pygmy Nuthatch
Red-bellied Woodpecker
Red-cockaded Woodpecker
Red-headed Woodpecker
Tree Swallow
Tufted Titmouse
Tufted x Black-crested Titmouse (hybrid)
Tufted/Black-crested Titmouse
Violet-green Swallow
Western Bluebird
White-breasted Nuthatch
Williamson's Sapsucker
Winter Wren
Yellow-bellied Sapsucker
Yellow-bellied x Red-breasted Sapsucker (hybrid)
Yellow-bellied/Red-naped Sapsucker
