YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED
1987,US,NJ,tuftit,Tufted Titmouse,0,6.0,2.0
1987,US,NJ,houspa,House Sparrow,1,195.0,39.0
1987,US,NJ,houfin,House Finch,0,38.0,7.6
1987,US,NJ,eursta,European Starling,1,61.0,12.2
1987,US,NJ,dowwoo,Downy Woodpecker,0,7.0,1.75
1987,US,NJ,bkcchi,Black-capped Chickadee,0,2.0,1.0
1988,CA,AB,bkcchi,Black-capped Chickadee,0,301.0,6.688888888888889
1988,CA,PE,haiwoo,Hairy Woodpecker,0,16.0,1.7777777777777777
1988,CA,PE,eursta,European Starling,1,77.0,12.833333333333334
1988,US,MS,brncre,Brown Creeper,0,15.0,2.5
1988,US,MS,bnhnut,Brown-headed Nuthatch,0,21.0,3.0
1988,US,MS,bkcchi,Black-capped Chickadee,0,59.0,9.833333333333334
1988,CA,MB,bkcchi,Black-capped Chickadee,0,103.0,3.433333333333333
1988,CA,PE,bkcchi,Black-capped Chickadee,0,97.0,4.041666666666667
1988,CA,PE,houspa,House Sparrow,1,83.0,16.6
1988,CA,MB,borchi2,Boreal Chickadee,0,1.0,1.0
1988,CA,MB,dowwoo,Downy Woodpecker,0,25.0,1.3888888888888888
1988,CA,PE,dowwoo,Downy Woodpecker,0,8.0,1.6
1988,CA,PE,whbnut,White-breasted Nuthatch,0,4.0,1.3333333333333333
1988,CA,NS,haiwoo,Hairy Woodpecker,0,16.0,1.0
1988,CA,NS,houspa,House Sparrow,1,1014.0,24.142857142857142
1988,CA,MB,eursta,European Starling,1,34.0,4.857142857142857
1988,CA,NS,eursta,European Starling,1,776.0,18.926829268292682
1988,CA,NS,dowwoo,Downy Woodpecker,0,27.0,1.125
1988,CA,NS,bkcchi,Black-capped Chickadee,0,376.0,4.585365853658536
1988,US,MS,carchi,Carolina Chickadee,0,198.0,3.413793103448276
1988,US,TX,yebsap,Yellow-bellied Sapsucker,0,11.0,1.1
1988,US,TX,y00033,Carolina/Black-capped Chickadee,0,40.0,4.444444444444445
1988,US,TX,winwre3,Winter Wren,0,17.0,2.4285714285714284
1988,US,TX,whbnut,White-breasted Nuthatch,0,10.0,1.1111111111111112
1988,US,TX,tuftit,Tufted Titmouse,0,472.0,2.6222222222222222
1988,CA,NS,whbnut,White-breasted Nuthatch,0,14.0,1.4
1988,CA,MB,haiwoo,Hairy Woodpecker,0,21.0,1.5
1988,US,FL,yebsap,Yellow-bellied Sapsucker,0,2.0,1.0
1988,CA,MB,norfli,Northern Flicker,0,2.0,1.0
1988,US,MO,carwre,Carolina Wren,0,21.0,1.3125
1988,US,MO,dowwoo,Downy Woodpecker,0,224.0,1.8983050847457628
1988,US,MO,easblu,Eastern Bluebird,0,38.0,3.1666666666666665
1988,US,MO,eursta,European Starling,1,762.0,13.607142857142858
1988,US,MO,eutspa,Eurasian Tree Sparrow,1,102.0,6.375
1988,US,MO,haiwoo,Hairy Woodpecker,0,42.0,1.3125
1988,US,MO,houfin,House Finch,0,59.0,3.1052631578947367
1988,US,MO,houspa,House Sparrow,1,2705.0,20.492424242424242
1988,US,MO,labwoo,Ladder-backed Woodpecker,0,1.0,1.0
1988,US,MO,lewwoo,Lewis's Woodpecker,0,2.0,2.0
1988,US,MO,norfli,Northern Flicker,0,48.0,1.5
1988,US,MO,rebwoo,Red-bellied Woodpecker,0,162.0,2.050632911392405
1988,US,MO,rehwoo,Red-headed Woodpecker,0,6.0,1.5
1988,US,MO,tuftit,Tufted Titmouse,0,361.0,3.1120689655172415
1988,US,MO,whbnut,White-breasted Nuthatch,0,118.0,1.873015873015873
1988,US,MO,y00033,Carolina/Black-capped Chickadee,0,58.0,3.8666666666666667
1988,US,MO,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,7.0,2.3333333333333335
1988,US,MO,yebsap,Yellow-bellied Sapsucker,0,8.0,1.0
1988,US,FL,rehwoo,Red-headed Woodpecker,0,2.0,1.0
1988,US,FL,tuftit,Tufted Titmouse,0,224.0,2.574712643678161
1988,US,FL,whbnut,White-breasted Nuthatch,0,7.0,1.1666666666666667
1988,US,FL,winwre3,Winter Wren,0,1.0,1.0
1988,US,FL,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,10.0,2.5
1988,US,TX,rehwoo,Red-headed Woodpecker,0,1.0,1.0
1988,CA,MB,whbnut,White-breasted Nuthatch,0,44.0,1.76
1988,CA,MB,houspa,House Sparrow,1,728.0,18.666666666666668
1988,US,TX,rebwoo,Red-bellied Woodpecker,0,75.0,1.4150943396226414
1988,US,TX,norfli,Northern Flicker,0,27.0,1.125
1988,US,TX,labwoo,Ladder-backed Woodpecker,0,19.0,1.4615384615384615
1988,US,CA,eursta,European Starling,1,86.0,5.0588235294117645
1988,US,CA,eutspa,Eurasian Tree Sparrow,1,6.0,2.0
1988,US,CA,haiwoo,Hairy Woodpecker,0,4.0,1.0
1988,US,CA,houfin,House Finch,0,5917.0,12.807359307359308
1988,US,CA,houspa,House Sparrow,1,3352.0,12.793893129770993
1988,US,CA,houwre,House Wren,0,9.0,1.2857142857142858
1988,US,CA,mouchi,Mountain Chickadee,0,19.0,2.111111111111111
1988,US,CA,norfli,Northern Flicker,0,72.0,1.3333333333333333
1988,US,CA,nutwoo,Nuttall's Woodpecker,0,53.0,1.325
1988,US,CA,oaktit,Oak Titmouse,0,308.0,1.7803468208092486
1988,US,CA,pygnut,Pygmy Nuthatch,0,32.0,3.2
1988,US,CA,tuftit,Tufted Titmouse,0,5.0,1.6666666666666667
1988,US,CA,wesblu,Western Bluebird,0,2.0,2.0
1988,US,CA,dowwoo,Downy Woodpecker,0,25.0,1.0869565217391304
1988,US,CA,whbnut,White-breasted Nuthatch,0,153.0,1.7790697674418605
1988,US,CT,yebsap,Yellow-bellied Sapsucker,0,2.0,2.0
1988,US,CT,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,21.0,4.2
1988,US,CT,y00033,Carolina/Black-capped Chickadee,0,58.0,11.6
1988,US,CT,winwre3,Winter Wren,0,1.0,1.0
1988,US,CT,whbnut,White-breasted Nuthatch,0,397.0,1.7566371681415929
1988,US,CT,tuftit,Tufted Titmouse,0,887.0,3.4784313725490197
1988,US,CT,rebwoo,Red-bellied Woodpecker,0,67.0,1.046875
1988,US,CT,norfli,Northern Flicker,0,13.0,1.0833333333333333
1988,US,CT,houspa,House Sparrow,1,1353.0,11.275
1988,US,CT,houfin,House Finch,0,3228.0,14.034782608695652
1988,US,CT,haiwoo,Hairy Woodpecker,0,109.0,1.2674418604651163
1988,US,CT,eursta,European Starling,1,765.0,8.5
1988,US,CT,easblu,Eastern Bluebird,0,1.0,1.0
1988,US,CA,yebsap,Yellow-bellied Sapsucker,0,3.0,1.0
1988,US,MO,carchi,Carolina Chickadee,0,183.0,4.066666666666666
1988,US,CA,chbchi,Chestnut-backed Chickadee,0,357.0,3.1315789473684212
1988,US,CA,bkcchi,Black-capped Chickadee,0,4.0,1.0
1988,US,TX,juntit1,Juniper Titmouse,0,9.0,2.25
1988,US,TX,houwre,House Wren,0,52.0,4.7272727272727275
1988,US,TX,houspa,House Sparrow,1,5120.0,23.167420814479637
1988,US,TX,houfin,House Finch,0,631.0,11.90566037735849
1988,US,TX,haiwoo,Hairy Woodpecker,0,3.0,1.5
1988,US,TX,gofwoo,Golden-fronted Woodpecker,0,49.0,1.6896551724137931
1988,US,TX,eursta,European Starling,1,213.0,6.264705882352941
1988,US,TX,easblu,Eastern Bluebird,0,127.0,6.35
1988,US,TX,dowwoo,Downy Woodpecker,0,47.0,1.46875
1988,US,TX,carwre,Carolina Wren,0,83.0,1.4821428571428572
1988,US,TX,carchi,Carolina Chickadee,0,569.0,2.9329896907216493
1988,US,TX,brncre,Brown Creeper,0,1.0,1.0
1988,US,TX,bkcchi,Black-capped Chickadee,0,73.0,2.92
1988,US,CA,brncre,Brown Creeper,0,3.0,1.0
1988,US,TX,bewwre,Bewick's Wren,0,52.0,2.1666666666666665
1988,US,MS,dowwoo,Downy Woodpecker,0,8.0,1.3333333333333333
1988,US,MS,eursta,European Starling,1,1.0,1.0
1988,US,MS,houfin,House Finch,0,5.0,1.6666666666666667
1988,US,MS,houspa,House Sparrow,1,477.0,14.029411764705882
1988,US,MS,labwoo,Ladder-backed Woodpecker,0,1.0,1.0
1988,US,MS,norfli,Northern Flicker,0,5.0,1.25
1988,US,MS,rebwoo,Red-bellied Woodpecker,0,35.0,1.6666666666666667
1988,US,MS,tuftit,Tufted Titmouse,0,256.0,4.0
1988,US,MS,whbnut,White-breasted Nuthatch,0,19.0,6.333333333333333
1988,US,MS,y00033,Carolina/Black-capped Chickadee,0,58.0,5.8
1988,US,MS,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,3.0,1.5
1988,US,MS,yebsap,Yellow-bellied Sapsucker,0,3.0,1.0
1988,US,CA,bewwre,Bewick's Wren,0,61.0,1.196078431372549
1988,US,MS,carwre,Carolina Wren,0,57.0,1.9655172413793103
1988,US,MO,brncre,Brown Creeper,0,9.0,1.2857142857142858
