COUNTRY,STATE/PROVINCE,YEAR,REPORTING_SITES
CA,AB,1988,19
CA,AB,1989,39
CA,AB,1990,39
CA,AB,1991,55
CA,AB,1992,57
CA,AB,1993,56
CA,AB,1994,64
CA,AB,1995,59
CA,AB,1996,80
CA,AB,1997,53
CA,AB,1998,78
CA,AB,1999,123
CA,AB,2000,167
CA,AB,2001,163
CA,AB,2002,125
CA,AB,2003,125
CA,AB,2004,121
CA,AB,2005,117
CA,AB,2006,107
CA,AB,2007,109
CA,AB,2008,120
CA,AB,2009,113
CA,AB,2010,121
CA,AB,2011,112
CA,AB,2012,128
CA,AB,2013,159
CA,AB,2014,171
CA,AB,2015,184
CA,AB,2016,173
CA,AB,2017,154
CA,AB,2018,184
CA,AB,2019,181
CA,AB,2020,238
CA,AB,2021,250
CA,AB,2022,251
CA,AB,2023,221
CA,AB,2024,156
CA,BC,1988,31
CA,BC,1989,75
CA,BC,1990,73
CA,BC,1991,70
CA,BC,1992,89
CA,BC,1993,82
CA,BC,1994,94
CA,BC,1995,108
CA,BC,1996,174
CA,BC,1997,127
CA,BC,1998,118
CA,BC,1999,166
CA,BC,2000,239
CA,BC,2001,264
CA,BC,2002,271
CA,BC,2003,256
CA,BC,2004,254
CA,BC,2005,232
CA,BC,2006,225
CA,BC,2007,249
CA,BC,2008,288
CA,BC,2009,300
CA,BC,2010,299
CA,BC,2011,309
CA,BC,2012,321
CA,BC,2013,345
CA,BC,2014,350
CA,BC,2015,334
CA,BC,2016,326
CA,BC,2017,308
CA,BC,2018,308
CA,BC,2019,337
CA,BC,2020,450
CA,BC,2021,483
CA,BC,2022,421
CA,BC,2023,366
CA,BC,2024,282
CA,MB,1988,14
CA,MB,1989,32
CA,MB,1990,33
CA,MB,1991,35
CA,MB,1992,38
CA,MB,1993,34
CA,MB,1994,32
CA,MB,1995,34
CA,MB,1996,56
CA,MB,1997,44
CA,MB,1998,49
CA,MB,1999,54
CA,MB,2000,86
CA,MB,2001,88
CA,MB,2002,83
CA,MB,2003,76
CA,MB,2004,69
CA,MB,2005,60
CA,MB,2006,62
CA,MB,2007,68
CA,MB,2008,65
CA,MB,2009,63
CA,MB,2010,75
CA,MB,2011,70
CA,MB,2012,80
CA,MB,2013,92
CA,MB,2014,79
CA,MB,2015,91
CA,MB,2016,91
CA,MB,2017,83
CA,MB,2018,82
CA,MB,2019,88
CA,MB,2020,111
CA,MB,2021,129
CA,MB,2022,142
CA,MB,2023,140
CA,MB,2024,102
CA,NB,1988,11
CA,NB,1989,32
CA,NB,1990,36
CA,NB,1991,40
CA,NB,1992,39
CA,NB,1993,47
CA,NB,1994,46
CA,NB,1995,42
CA,NB,1996,55
CA,NB,1997,35
CA,NB,1998,41
CA,NB,1999,47
CA,NB,2000,58
